,strategy,stoploss,takeprofit,nPCs,Accuracy,nTrades,AverageDurationInMin
0,Bullish,0.01,0.01,10,0.5325393639323788,44838,361.043199964316
0,Bullish,0.01,0.01,25,0.5131840466410494,37735,413.1607261163376
0,Bullish,0.01,0.01,40,0.5187263403764062,37247,399.2485300829597
0,Bullish,0.01,0.01,65,0.519301069088401,43495,356.6709966662835
0,Bullish,0.01,0.01,80,0.5051794691920963,42765,460.5189991815737
0,Bullish,0.01,0.01,95,0.48787672784953545,52956,419.6460268902485
0,Bullish,0.01,0.01,110,0.5152289422490636,34441,481.1425336081995
0,Bullish,0.01,0.02,10,0.4098040451137294,15871,822.5782874425051
0,Bullish,0.01,0.02,25,0.3592730377508081,16397,901.1334390437275
0,Bullish,0.01,0.02,40,0.31469042056074764,20544,794.1944119937694
0,Bullish,0.01,0.02,65,0.41012973299140143,26516,753.9074521043898
0,Bullish,0.01,0.02,80,0.29362789547440443,24262,787.1187453631193
0,Bullish,0.01,0.02,95,0.32860507720492016,19105,685.7375032713949
0,Bullish,0.01,0.02,110,0.32404342135653247,12989,697.4062668411733
0,Bullish,0.01,0.03,10,0.3211821456921292,16377,1039.1549123771142
0,Bullish,0.01,0.03,25,0.27775807023767296,14095,1043.5743171337353
0,Bullish,0.01,0.03,40,0.2826587177073528,19122,1239.0448174877106
0,Bullish,0.01,0.03,65,0.26942081814499796,24690,978.7970838396112
0,Bullish,0.01,0.03,80,0.22305102305102306,19305,1011.4418544418544
0,Bullish,0.01,0.03,95,0.2689726793417479,25036,721.2769611759066
0,Bullish,0.01,0.03,110,0.30717779774383547,20034,768.3869921134072
0,Bullish,0.01,0.04,10,0.21872203329156972,5587,1231.7952389475568
0,Bullish,0.01,0.04,25,0.2492462311557789,10945,1269.0287802649611
0,Bullish,0.01,0.04,40,0.21732308175113763,12746,1210.4381766828808
0,Bullish,0.01,0.04,65,0.20875373028279096,14074,1109.7250248685518
0,Bullish,0.01,0.04,80,0.21696224256292906,13984,1094.720394736842
0,Bullish,0.01,0.04,95,0.19112439132359452,9036,1134.576139884905
0,Bullish,0.01,0.04,110,0.24696645253390434,4203,1516.3526052819416
0,Bullish,0.01,0.05,10,0.331811579165802,4819,1379.1211869682506
0,Bullish,0.01,0.05,25,0.23225396825396824,7875,1415.0533333333333
0,Bullish,0.01,0.05,40,0.1801621958827199,8015,1274.597005614473
0,Bullish,0.01,0.05,65,0.2411690873229335,11154,1839.8538640846334
0,Bullish,0.01,0.05,80,0.2916168215698905,10867,1456.805926198583
0,Bullish,0.01,0.05,95,0.1727349703640982,8267,1116.9995161485424
0,Bullish,0.01,0.05,110,0.1848615747103868,10186,1751.0956214411938
0,Bullish,0.02,0.01,10,0.6814964760117614,67679,595.8751606849983
0,Bullish,0.02,0.01,25,0.6661809368960334,65194,596.9547811148266
0,Bullish,0.02,0.01,40,0.6594953169495152,60751,630.8975160902701
0,Bullish,0.02,0.01,65,0.6676505399126204,68437,550.435144731651
0,Bullish,0.02,0.01,80,0.669280430396772,74350,628.3402824478817
0,Bullish,0.02,0.01,95,0.6433013402998637,70432,637.2368383689233
0,Bullish,0.02,0.01,110,0.6837808697438004,58431,559.3804658486077
0,Bullish,0.02,0.02,10,0.5424476295479603,35373,1180.9402651740027
0,Bullish,0.02,0.02,25,0.5177804947842147,38441,1341.0443276709764
0,Bullish,0.02,0.02,40,0.4830950378469302,29725,1192.7232968881412
0,Bullish,0.02,0.02,65,0.47876725773735523,45849,1119.8994525507644
0,Bullish,0.02,0.02,80,0.45442028569789455,52293,1103.7564301149293
0,Bullish,0.02,0.02,95,0.46292445192322956,62993,1119.2222151667645
0,Bullish,0.02,0.02,110,0.4683601065653768,37911,1214.9500145076627
0,Bullish,0.02,0.03,10,0.448774177263118,31693,1461.2064178209698
0,Bullish,0.02,0.03,25,0.41616462465308335,29546,1648.728592702904
0,Bullish,0.02,0.03,40,0.41853159195199435,28330,1775.8455700670668
0,Bullish,0.02,0.03,65,0.3315510123845095,25435,1437.0206408492236
0,Bullish,0.02,0.03,80,0.4143400284189101,26039,1735.379814893045
