"","Date","Championnat","Home_id","Away_id","Bet","Bookmaker","Odd","Stake","Result","EarningsMatch","x","n"
"1",2019-12-31,"NBA","SAS","GSW","GSW","1xBet",5.95,10,0,-10,1,1
"2",2019-12-31,"NBA","HOU","DEN","DEN","1xBet",2.568,10,0,-10,1,2
"3",2019-12-31,"NBA","IND","PHI","IND","1xBet",2.13,20,1,22.6,1,3
"4",2019-12-31,"NBA","OKC","DAL","OKC","1xBet",2.13,30,1,33.9,1,4
"5",2019-12-31,"NBA","CHA","BOS","BOS","1xBet",1.32,10,1,3.2,1,5
"6",2019-12-31,"NBA","SAC","LAC","SAC","1xBet",3.42,20,0,-20,1,6
"7",2020-01-01,"NBA","WAS","ORL","WAS","1xBet",2.25,62.87,0,-62.87,1,7
"8",2020-01-09,"NBA","PHI","BOS","PHI","Admiral",1.76,9,1,6.84,1,8
"9",2020-01-09,"NBA","MIN","POR","MIN","Admiral",1.98,6,1,5.88,1,9
"10",2020-01-09,"NBA","DET","CLE","DET","Admiral",1.3,9,0,-9,1,10
"11",2020-01-10,"Premier League","Sheffield","West Ham","Sheffield","Admiral",2.05,8,1,8.4,1,11
"12",2020-01-10,"Premier League","Sheffield","West Ham","X","Admiral",3.35,4,0,-4,1,12
"13",2020-01-10,"Ligue 1","Rennes","Marseille","Rennes","Admiral",2.7,6,0,-6,1,13
"14",2020-01-10,"NBA","LAC","GSW","GSW","Admiral",9.8,2,0,-2,1,14
"15",2020-01-10,"NBA","CHI","IND","IND","Admiral",1.62,20,1,12.4,1,15
"16",2020-01-10,"NBA","WAS","ATL","ATL","Admiral",1.79,10,0,-10,1,16
"17",2020-01-11,"Premier League","Crystal Palace","Arsenal","Arsenal","Admiral",1.83,5,0,-5,1,17
"18",2020-01-11,"Premier League","Crystal Palace","Arsenal","X","Admiral",3.8,3,1,8.4,1,18
"19",2020-01-11,"Serie A","Cagliari","Milan AC","Milan AC","Admiral",2.3,5,1,6.5,1,19
"20",2020-01-11,"Serie A","Cagliari","Milan AC","X","Admiral",3.4,3,0,-3,1,20
"21",2020-01-11,"Premier League","Chelsea","Burnley","Burnley","Admiral",10,2,0,-2,1,21
"22",2020-01-11,"Premier League","Tottenham","Liverpool","Liverpool","Admiral",1.7,7,1,4.9,1,22
"23",2020-01-11,"Premier League","Worlverhampton","Newcastle","Wolverhampton","Admiral",1.48,4,0,-4,1,23
"24",2020-01-11,"Premier League","Worlverhampton","Newcastle","Newcastle","Admiral",7,2,0,-2,1,24
"25",2020-01-11,"Premier League","Manchester United","Norwich","Manchester United","Admiral",1.33,6,1,1.98,1,25
"26",2020-01-11,"Premier League","Manchester United","Norwich","Norwich","Admiral",9.5,2,0,-2,1,26
"27",2020-01-11,"Premier League","Everton","Brighton","Everton","Admiral",1.92,4,1,3.68,1,27
"28",2020-01-11,"Premier League","Everton","Brighton","Brighton","Admiral",4,4,0,-4,1,28
"29",2020-01-11,"Serie A","Lazio","Naples","X","Admiral",3.7,6,0,-6,1,29
"30",2020-01-11,"Ligue 1","Bordeaux","Lyon","Lyon","Admiral",2.4,6,1,8.4,1,30
"31",2020-01-11,"Ligue 1","Angers","Nice","Angers","Admiral",1.78,4,0,-4,1,31
"32",2020-01-11,"Ligue 1","Angers","Nice","Nice","Admiral",4.75,4,0,-4,1,32
"33",2020-01-11,"Ligue 1","Toulouse","Brest","Toulouse","Admiral",2.3,7,0,-7,1,33
"34",2020-01-11,"Ligue 1","Metz","Strasbourg","Strasbourg","Admiral",2.85,7,0,-7,1,34
"35",2020-01-11,"Serie A","Inter Milan","Atalanta","X","Admiral",3.65,7,1,18.55,1,35
"36",2020-01-11,"NBA","HOU","MIN","HOU","Admiral",1.16,5,1,0.8,1,36
"37",2020-01-12,"NBA","DET","CHI","CHI","Admiral",2.37,8,1,10.96,1,37
"38",2020-01-12,"NBA","OKC","LAL","OKC","Admiral",1.28,6,0,-6,1,38
"39",2020-01-12,"NBA","POR","MIL ","MIL ","Admiral",1.4,3,1,1.2,1,39
"40",2020-01-12,"NBA","DAL","PHI","DAL","Admiral",1.71,13,1,9.23,1,40
"41",2020-01-12,"NBA","BOS","NOP","NOP","Admiral",6.2,5,0,-5,1,41
"42",2020-01-12,"Serie A","Udinese","Sassuolo","X2","Admiral",1.61,8,0,-8,1,42
"43",2020-01-12,"Serie A","Hellas Verona","Genoa","Genoa","Admiral",3.4,6,0,-6,1,43
"44",2020-01-12,"Serie A","Sampodria","Brescia","Brescia","Admiral",4,6,0,-6,1,44
"45",2020-01-12,"Serie A","Torino","Bologna","Bologna","Admiral",3.15,7,0,-7,1,45
"46",2020-01-12,"Serie A","Fiorentina","SPAL","SPAL","Admiral",6.5,5,0,-5,1,46
"47",2020-01-12,"Ligue 1","Dijon","Lille","Lille","Admiral",1.9,6,0,-6,1,47
"48",2020-01-12,"Ligue 1","Saint-Etienne","Nantes","Saint-Etienne","Admiral",2.6,6,0,-6,1,48
"49",2020-01-12,"Premier League","Bournemouth","Watford","Watford","Admiral",2.8,7,1,12.6,1,49
"50",2020-01-13,"Serie A","Parma","Lecce","Parma","Admiral",1.85,8,1,6.8,1,50
"51",2020-01-17,"NBA","PHI","CHI","PHI","Admiral",1.3,45,1,13.5,1,51
"52",2020-01-17,"NBA","IND","MIN","IND","Admiral",1.29,58,1,16.82,1,52
"53",2020-01-18,"Premier League","Arsenal","Sheffield","Sheffield","Admiral",4,6,0,-6,1,53
"54",2020-01-18,"Premier League","Brighton","Aston Villa","X","Admiral",4.25,6,1,19.5,1,54
"55",2020-01-18,"Premier League","Norwich","Bournemouth","Bournemouth","Admiral",3.15,6,0,-6,1,55
"56",2020-01-18,"Premier League","Southampton","Wolverhampton","Wolverhampton","Admiral",3,6,1,12,1,56
"57",2020-01-18,"Premier League","West Ham","Everton","Everton","Admiral",2.45,6,0,-6,1,57
"58",2020-01-18,"Premier League","Newcastle","Chelsea","Newcastle","Admiral",6,6,1,30,1,58
"59",2020-01-18,"Championship","Birmingham","Cardiff","X","Admiral",3.25,3,1,6.75,1,59
"60",2020-01-18,"Championship","Bristol","Barnsley","Bristol","Admiral",2.1,6,1,6.6,1,60
"61",2020-01-18,"Championship","Derby","Hull City","Derby","Admiral",2.2,6,1,7.2,1,61
"62",2020-01-18,"Championship","Milwall","Reading","Milwall","Admiral",2.15,6,1,6.9,1,62
"63",2020-01-18,"Championship","Preston ","Charlton","X","Admiral",4.25,6,0,-6,1,63
"64",2020-01-18,"Championship","Sheffield Wednesday","Blackburn","Sheffield Wednesday","Admiral",1.9,6,0,-6,1,64
"65",2020-01-18,"Championship","Swansea","Wigan","Swansea","Admiral",1.98,6,1,5.88,1,65
"66",2020-01-18,"Serie A","Naples","Fiorentina","Fiorentina","Admiral",5.5,5,1,22.5,1,66
"67",2020-01-18,"Liga Primera","Eibar","Atletico Madrid","X","Admiral",3.6,10,0,-10,1,67
"68",2020-01-18,"NBA","NOP","LAC","LAC","Admiral",1.43,20,1,8.6,1,68
"69",2020-01-19,"NBA","BOS","PHO","BOS","Admiral",1.36,11,0,-11,1,69
"70",2020-01-19,"NBA","ATL","DET","DET","Admiral",1.76,11,1,8.36,1,70
"71",2020-01-19,"NBA","NYK","PHI","PHI","Admiral",1.53,11,1,5.83,1,71
"72",2020-01-19,"NBA","MIN","TOR","TOR","Admiral",1.45,11,1,4.95,1,72
"73",2020-01-19,"NBA","HOU","LAL","LAL","Admiral",1.97,11,1,10.67,1,73
"74",2020-01-19,"NBA","GSW","ORL","ORL","Admiral",1.37,11,0,-11,1,74
"75",2020-01-19,"NBA","OKC","POR","OKC","Admiral",1.37,11,1,4.07,1,75
"76",2020-01-19,"Serie A","Milan AC","Udinese","Udinese","Admiral",6.5,8,0,-8,1,76
"77",2020-01-19,"Liga Primera","Majorque","Valence","X","Admiral",3.4,11,0,-11,1,77
"78",2020-01-19,"Liga Primera","Betis Séville","Real Sociedad","X","Admiral",3.6,11,0,-11,1,78
"79",2020-01-19,"Championship","Notthingham","Luton","Notthingham","Admiral",1.57,11,1,6.27,1,79
"80",2020-01-19,"Premier League","Liverpool","Manchester United","Manchester United","Admiral",7.5,13,0,-13,1,80
"81",2020-01-19,"Premier League","Burnley","Leicester","Burnley","Admiral",4.25,13,1,42.25,1,81
"82",2020-01-19,"Bundesliga","Paderborn","Bayer Leverkusen","X","Admiral",4.4,13,0,-13,1,82
"83",2020-01-19,"Liga Primera","Athletic Bilbao","Celta Vigo","Celta Vigo","Admiral",4.25,13,0,-13,1,83
"84",2020-01-19,"Liga Primera","Villareal","Espanyol Barcelone","X","Admiral",3.6,13,0,-13,1,84
"85",2020-01-19,"Serie A","Genoa","AS Rome","AS Rome","Admiral",1.9,13,1,11.7,1,85
"86",2020-01-19,"Serie A","Bologna","Hellas Verone","Hellas Verone","Admiral",3.55,13,0,-13,1,86
"87",2020-01-19,"Serie A","Lecce","Inter Milan","X","Admiral",6,13,1,65,1,87
"88",2020-01-19,"Serie A","Brescia","Cagliari","Brescia","Admiral",2.8,13,0,-13,1,88
"89",2020-01-19,"NBA","SAS","MIA","MIA","Admiral",1.85,50,0,-50,1,89
"90",2020-01-19,"Serie A","Juventus","Parme","Parme","Admiral",13,5,0,-5,1,90
"91",2020-01-21,"Premier League","Crystal Palace","Southampton","Southampton","Admiral",2.75,24,1,42,1,91
"92",2020-01-21,"Premier League","Bournemouth","Brighton","Brighton","Admiral",2.6,18,0,-18,1,92
"93",2020-01-21,"Championship","Barnsley","Preston","Preston","Admiral",2.7,18,1,30.6,1,93
"94",2020-01-21,"Premier League","Chelsea","Arsenal","Arsenal","Admiral",4.75,18,0,-18,1,94
"95",2020-01-21,"Premier League","Everton","Newcastle","Newcastle","Admiral",7.5,18,0,-18,1,95
"96",2020-01-21,"Premier League","Aston Villa","Watford","X","Admiral",3.4,18,0,-18,1,96
"97",2020-01-21,"Championship","Middlesbrough","Birmingham","Middlesbrough","Admiral",2,18,0,-18,1,97
"98",2020-01-21,"NBA","DAL","LAC","DAL","Admiral",1.76,18,0,-18,1,98
"99",2020-01-22,"Championship","Charlton","Fulham","X","Admiral",3.6,16,1,41.6,1,99
"100",2020-01-22,"Championship","Notthingham","Reading","Reading","Admiral",3.8,16,0,-16,1,100
"101",2020-01-22,"Premier League","Manchester United","Burnley","Burnley","Admiral",7.5,16,1,104,1,101
"102",2020-01-22,"Premier League","Tottenham","Norwich","Norwich","Admiral",8,16,0,-16,1,102
"103",2020-01-22,"Premier League","Leicester","West Ham","West Ham","Admiral",6.5,16,0,-16,1,103
"104",2020-01-22,"NBA","NOP","SAS","SAS ","Admiral",2.3,20,1,26,1,104
"105",2020-01-22,"NBA","CHI","MIN","CHI","Admiral",1.81,20,1,16.2,1,105
"106",2020-01-22,"NBA","ATL","LAC","LAC","Admiral",1.61,20,0,-20,1,106
"107",2020-01-22,"NBA","TOR ","PHI","TOR","Admiral",1.34,20,1,6.8,1,107
"108",2020-01-22,"NBA","ORL","OKC","OKC","Admiral",2.07,20,1,21.4,1,108
"109",2020-01-23,"NBA","BRK","LAL","LAL","Admiral",1.46,20,1,9.2,1,109
"110",2020-01-23,"NBA","CLE","WAS","WAS","Admiral",2.11,25,1,27.75,1,110
"111",2020-01-23,"NBA","POR","DAL","POR","Admiral",2.43,20,0,-20,1,111
"112",2020-01-24,"Liga Primera","Osasuna","Levante","Levante","Admiral",5,22,0,-22,1,112
