,stoploss,takeprofit,Best model nPCs,Best model accuracy
0,0.0,0.0,0,0.0
1,0.01,0.01,10,0.5325393639323788
2,0.01,0.02,65,0.41012973299140143
3,0.01,0.03,10,0.3211821456921292
4,0.01,0.04,25,0.2492462311557789
5,0.01,0.05,10,0.331811579165802
6,0.02,0.01,110,0.6837808697438004
7,0.02,0.02,10,0.5424476295479603
8,0.02,0.03,10,0.44877417726311797
9,0.02,0.04,10,0.4267686424474187
10,0.02,0.05,40,0.3676684593483075
11,0.03,0.01,65,0.7760133821814369
12,0.03,0.02,10,0.6612740566434154
13,0.03,0.03,10,0.5963442201262764
14,0.03,0.04,10,0.5478668862442905
15,0.03,0.05,10,0.5332987244141204
16,0.04,0.01,25,0.8289083695328304
17,0.04,0.02,65,0.7102822212760781
18,0.04,0.03,10,0.633544235345014
19,0.04,0.04,10,0.6120142812575826
20,0.04,0.05,10,0.6154019466474405
21,0.05,0.01,10,0.84995529422462
22,0.05,0.02,10,0.7606876529857118
23,0.05,0.03,10,0.7406628360352965
24,0.05,0.04,10,0.7013895967111745
25,0.05,0.05,10,0.7098393974415176
